央视定制,#genre#
CCTV-1 综合,http://xyt.186738613.xyz/lngd.php?id=488&Cf.m3u8
CCTV-1 综合,http://hy.baojihzjc.com:9001/rtp/239.112.205.59:5140
CCTV-1 综合,http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV-2 财经,http://xyt.186738613.xyz/lngd.php?id=061&Cf.m3u8
CCTV-2 财经,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-3 综艺,http://xyt.186738613.xyz/lngd.php?id=062&Cf.m3u8
CCTV-3 综艺,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3
CCTV-4 中文国际,http://xyt.186738613.xyz/lngd.php?id=063&Cf.m3u8
CCTV-4 中文国际,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-5 体育,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225489/index.m3u8
CCTV-5 体育,http://219.145.19.27:5554/rtp/239.112.205.222:5140
CCTV-5+ 体育赛事,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225494/index.m3u8
CCTV-5+ 体育赛事,http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV-6 电影,http://xyt.186738613.xyz/lngd.php?id=065&Cf.m3u8
CCTV-6 电影,http://116.162.6.191/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel41141/index.m3u8
CCTV-7 国防军事,http://xyt.186738613.xyz/lngd.php?id=127&Cf.m3u8
CCTV-7 国防军事,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225496/index.m3u8
CCTV-8 电视剧,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV-8 电视剧,http://xyt.186738613.xyz/lngd.php?id=066&Cf.m3u8
CCTV-9 纪录,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225497/index.m3u8
CCTV-9 纪录,http://110.7.130.15:4022/udp/239.125.2.62:4120
CCTV-10 科教,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-10 科教,http://xyt.186738613.xyz/lngd.php?id=129&Cf.m3u8
CCTV-11 戏曲,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225501/index.m3u8
CCTV-11 戏曲,http://xyt.186738613.xyz/lngd.php?id=130&Cf.m3u8
CCTV-12 社会与法,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225605/index.m3u8
CCTV-12 社会与法,http://xyt.186738613.xyz/lngd.php?id=131&Cf.m3u8
CCTV-13 新闻,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225510/index.m3u8
CCTV-13 新闻,http://222.83.135.190:8181/tsfile/live/1024_1.m3u8
CCTV-14 少儿,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225513/index.m3u8
CCTV-14 少儿,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079103.m3u8
CCTV-15 音乐,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225515/index.m3u8
CCTV-15 音乐,http://xyt.186738613.xyz/lngd.php?id=133&Cf.m3u8
CCTV-16 奥林匹克,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226095/index.m3u8
